panel,n,m,seed,generator,condition,center_scale,prefiltered,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,reference_upper_bound,max_distance_squared,bound_gap,relative_bound_gap,runtime,rank1_residual,relative_rank1_residual,rank1_eig_largest,rank1_eig_second,rank1_eig_ratio,sep_rank1_residual,relative_sep_rank1_residual,pd_gap,relative_pd_gap,x_trace,y_trace,x_ball,y_ball,primal_feasibility_violation,certification_gap,relative_certification_gap,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,max_kron_violation,fro_kron_violation,relative_max_kron_violation,relative_fro_kron_violation,n_cuts,n_iters,n_rounds,full_constraint_count,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count
square,10,10,2626,ellipsoids,5.0,1.0,True,0.025643945843120835,1.8125853209665763,Gurobi,TIME_LIMIT,,-229.58317602718873,-68.87019228491481,-68.87019228491481,248.62026923184214,160.71298374227393,0.700020735505642,12.378068916965276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.37525962665677,2.3335637437660557,2
square,10,10,3432,ellipsoids,5.0,1.0,True,0.016548903826177797,1.0105469560675218,Gurobi,TIME_LIMIT,,-194.98288570141477,-60.05373661714374,-60.05373661714374,202.16616561161499,134.92914908427105,0.6920050885434814,16.135345791932195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.132347623817623,2.2468068880455343,1
square,10,10,3782,ellipsoids,5.0,1.0,True,0.014348078136100862,0.8693553151849471,Gurobi,TIME_LIMIT,,-193.8636133060241,-59.72101134845781,-59.72101134845781,201.7410509241205,134.14260195756628,0.6919431639077881,14.96453595906496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.961208250373602,2.2461542249322664,1
square,10,10,4627,ellipsoids,5.0,1.0,True,0.015715846301657524,1.006764693897992,Gurobi,TIME_LIMIT,,-203.6532824181469,-63.05371760999233,-63.05371760999233,226.10589698429374,140.59956480815455,0.6903869318416946,13.58261683396995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.579719000030309,2.2298378293538272,2
square,10,10,4911,ellipsoids,5.0,1.0,True,0.01846068641175169,1.3689685146703852,Gurobi,TIME_LIMIT,,-263.4485655834872,-72.78691519065751,-72.78691519065751,270.8469518861354,190.6616503928297,0.7237148927744257,12.531054916791618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.52888437313959,2.6194495245939753,1
square,10,10,5823,ellipsoids,5.0,1.0,True,0.02753153053940417,1.6603323085477157,Gurobi,TIME_LIMIT,,-202.9638286916675,-58.646242590053916,-58.646242590053916,215.8326541971984,144.31758610161359,0.7110507671830218,19.48167870938778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.479162000585347,2.4608155565978067,1
square,10,10,5903,ellipsoids,5.0,1.0,True,0.010088404001196738,0.7956602354249753,Gurobi,TIME_LIMIT,,-272.41770989958803,-78.0731316300267,-78.0731316300267,285.0092008831514,194.34457826956134,0.7134065488664297,14.029967207927257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.028072374872863,2.489263261406271,1
square,10,10,6260,ellipsoids,5.0,1.0,True,0.011754362878062896,0.8526352580115173,Gurobi,TIME_LIMIT,,-239.07205430216433,-71.6851336416356,-71.6851336416356,254.09930486862498,167.38692066052874,0.7001526010604635,17.178971624933183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.17673662584275,2.3350297635953403,1
square,15,15,278,ellipsoids,5.0,1.0,True,0.0222043792481665,1.6123779737084476,Gurobi,TIME_LIMIT,,-378.25095686248557,-71.00293613562823,-71.00293613562823,397.6962374214004,307.24802072685736,0.8122861691492256,2787.0131197921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2786.953685750719,4.327257962120875,1
square,15,15,729,ellipsoids,5.0,1.0,True,0.0232694674173046,1.8477668737976245,Gurobi,TIME_LIMIT,,-432.1715191073474,-77.55958872487466,-77.55958872487466,455.3155458632188,354.6119303824728,0.8205351688027143,1493.272335417103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493.1994948745705,4.572122366976183,1
square,15,15,2620,ellipsoids,5.0,1.0,True,0.010927267371397445,0.9003004877519061,Gurobi,TIME_LIMIT,,-342.84923376509107,-81.48996755936098,-81.48996755936098,362.6875804593869,261.3592662057301,0.7623154450005415,1762.5797656248324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762.5463933744468,3.207256967127203,1
square,15,15,3869,ellipsoids,5.0,1.0,True,0.013088807596048432,1.3231845993744429,Gurobi,TIME_LIMIT,,-495.10725988906137,-99.76964525787848,-99.76964526038437,533.3462221314795,395.337614628677,0.7984888258702978,1392.6808322919533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392.7222562497482,3.962503962095262,2
square,15,15,4966,ellipsoids,5.0,1.0,True,0.02304534982123591,1.8414273564834218,Gurobi,TIME_LIMIT,,-387.6665703554273,-78.06308139390919,-78.06308139549816,417.9763173214877,309.60348895992917,0.79863344594318,1498.1489175418392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1498.1607206244953,3.966067998254482,1
square,15,15,5317,ellipsoids,5.0,1.0,True,0.010028389759091427,0.8586013577717893,Gurobi,TIME_LIMIT,,-473.8038822759642,-84.75846961749698,-84.75846961749698,508.12295264229255,389.0454126584672,0.8211106477001597,1903.1852252078243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903.1870782510377,4.590047630805208,1
square,15,15,11664,ellipsoids,5.0,1.0,True,0.012737650054702884,1.0511974781400113,Gurobi,TIME_LIMIT,,-449.90923474957555,-81.47560092074498,-81.47560092074498,474.6241574418049,368.4336338288306,0.8189065824219074,1854.5484109581448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854.528591751121,4.522011862020171,1
square,15,15,14508,ellipsoids,5.0,1.0,True,0.012935707312071894,1.0213161587772106,Gurobi,TIME_LIMIT,,-466.46035313041125,-77.93193580790074,-77.93193580790074,486.1366707761524,388.5284173225105,0.8329291325942275,1178.3560350830667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178.335944999475,4.985483977713808,2
square,15,15,15664,ellipsoids,5.0,1.0,True,0.01002419413339861,0.8301400025205794,Gurobi,TIME_LIMIT,,-421.16445535285055,-81.98349982269555,-81.98349982461714,446.23444156147366,339.1809555282334,0.805340885768882,1252.3678897498176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252.3487872495316,4.137185607636858,1
square,15,15,16969,ellipsoids,5.0,1.0,True,0.01931815105298259,1.6568817727881537,Gurobi,TIME_LIMIT,,-409.802286726938,-84.1112524675921,-84.1112524675921,451.65474552198543,325.6910342593459,0.7947516273289181,1589.2969040418975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.2751400000416,3.872145815268108,1
square,2,2,62,ellipsoids,5.0,1.0,True,0.013222900729182365,0.24434615866876186,Shor,Optimal,-18.47901331736542,-18.47901331736542,-7.815541752776543,,19.884039170320015,10.663471564588878,0.577058492325887,0.007076875073835254,1.2813376572572304,0.8204226818088333,1.9339064882460022,1.0660935092166557,1.8140120651020548,,,-4.859594682216084e-08,2.629791211660279e-09,1.0000000046900763,1.0000000044394384,0.5384504421782015,0.18021189579535818,0.0,10.663471564588878,0.577058492325887,,,,,,,,,,,,,,,,
